ID,昵称,法币,带单规模,跟单收益,人数上限,跟单人数,累计跟单人数,近七日跟单人数,近七日跟单比例,平均持仓秒,盈利笔数,亏损笔数,总笔数,盈亏比,胜率,收益率,收益额,总做多倍数,总做空倍数,币种,币种类型,杠杆倍数,开仓均价,开仓时间,强平价,全仓逐仓,当前收益率,仓位倍数,多空,net方向
B6181B02B8A5D919,Trim-Scrypt-Cypress,,,,,,,,,,,,,,,,,,7.65,ETH-USDT-SWAP,SWAP,100,1818.46,1699036532275,2058.492960793817,cross,-0.5741121608394018,7.651904552566184,short,1
70E0882942EFAF00,Pale-ISPO-Bat,USDT,7872.095806343412684,-164807.1481553999999769,100,12,969,1,0.0010,134938.0,133,82,215,0.631,0.6897,-0.1496,-3754.6727705000000224,12.07,,BTC-USDT-SWAP,SWAP,100,34230.7683008284220351,1698932650897,30109.570033310752,cross,1.3173285951652458,6.9855897610457056,long,1
70E0882942EFAF00,Pale-ISPO-Bat,USDT,7872.095806343412684,-164807.1481553999999769,100,12,969,1,0.0010,134938.0,133,82,215,0.631,0.6897,-0.1496,-3754.6727705000000224,12.07,,ETH-USDT-SWAP,SWAP,50,1786.4722504464285718,1698918979943,1371.6870033310756,cross,1.1874729524337435,3.6837713012846807,long,1
70E0882942EFAF00,Pale-ISPO-Bat,USDT,7872.095806343412684,-164807.1481553999999769,100,12,969,1,0.0010,134938.0,133,82,215,0.631,0.6897,-0.1496,-3754.6727705000000224,12.07,,LTC-USDT-SWAP,SWAP,50,69.2950000000000002,1698468404429,23.59359132085455,cross,0.097409625514111,1.3984594097446303,long,1
990F656F691436C7,Envious-PoH-Penguin,USDT,783.4548937877421191,-48809.0628376500008635,500,58,682,0,0.0000,241776.0,31,7,38,0.1654,0.8571,0.0082,11.13,,1.13,ETH-USDT-SWAP,SWAP,30,1820,1699036154520,3426.8835792411846,cross,-0.1467032967032988,1.1324779706242818,short,1
B95D1420298B6234,Zhongxin Asset Manag,USDT,268.9818495090193703,-59.8881325,100,2,17,0,0.0000,21733.0,49,33,82,0.6387,0.5,-0.4058,-241.7379999999999998,14.01,4.93,ETH-USDT-SWAP,SWAP,20,1802.45,1698940994842,2166.941250506683,cross,-0.2934894171821689,4.9269585781103284,short,1
B95D1420298B6234,Zhongxin Asset Manag,USDT,268.9818495090193703,-59.8881325,100,2,17,0,0.0000,21733.0,49,33,82,0.6387,0.5,-0.4058,-241.7379999999999998,14.01,4.93,BTC-USDT-SWAP,SWAP,20,33726.7,1698162459656,32407.717504544027,cross,0.5663168943300123,14.014596149470907,long,1
921CAD1BE39922B5,MyTrade Quant,USDT,28575.9832667291458392,-3308.770037,100,7,10,0,0.0000,673026.0,23,32,55,0.9561,0.5,-0.2726,-625.753,,6.97,BTC-USDT-SWAP,SWAP,5,33000,1698099178898,39422.49830761573,isolated,-0.2548030303030302,6.9693597993061818,short,1
9CF6546245567A67,希利,USDT,58.3084518143927253,-2916.2009642499999797,100,9,98,0,0.0000,232653.0,49,54,103,1.0388,0.4615,0.3942,350.6838895,3.05,,ETH-USDT-SWAP,SWAP,100,1755.2575742386875277,1697624043634,1236.4601000277355,cross,4.195533854525801,3.0459631304887288,long,1
B2893E759E3A3494,High-Unbanked-Hippo,USDT,3595.2412338474515266,-336865.4042608299996291,500,64,1542,0,0.0000,103062.0,166,43,209,0.1787,0.6552,-0.1025,-13166.9529999999993917,0.10,,APT-USDT-SWAP,SWAP,3,6.7685500000000001,1698756192705,4.544275897952333,isolated,-0.0232472242947162,0.0187833756865798,net,1
B2893E759E3A3494,High-Unbanked-Hippo,USDT,3595.2412338474515266,-336865.4042608299996291,500,64,1542,0,0.0000,103062.0,166,43,209,0.1787,0.6552,-0.1025,-13166.9529999999993917,0.10,,PERP-USDT-SWAP,SWAP,3,0.5928691683569982,1698755553996,0.3995402347023738,isolated,-0.0246386654099018,0.0193032949165101,net,1
B2893E759E3A3494,High-Unbanked-Hippo,USDT,3595.2412338474515266,-336865.4042608299996291,500,64,1542,0,0.0000,103062.0,166,43,209,0.1787,0.6552,-0.1025,-13166.9529999999993917,0.10,,MAGIC-USDT-SWAP,SWAP,3,0.5745628115653042,1698755412059,0.3911585751678096,isolated,0.1317724777519509,0.0200301683428467,net,1
B2893E759E3A3494,High-Unbanked-Hippo,USDT,3595.2412338474515266,-336865.4042608299996291,500,64,1542,0,0.0000,103062.0,166,43,209,0.1787,0.6552,-0.1025,-13166.9529999999993917,0.10,,YGG-USDT-SWAP,SWAP,3,0.2773,1698755328067,0.1862698556562605,isolated,0.0205553552109627,0.0100488951026712,net,1
B2893E759E3A3494,High-Unbanked-Hippo,USDT,3595.2412338474515266,-336865.4042608299996291,500,64,1542,0,0.0000,103062.0,166,43,209,0.1787,0.6552,-0.1025,-13166.9529999999993917,0.10,,ORDI-USDT-SWAP,SWAP,3,4.949,1698755203378,3.323591473648875,isolated,0.6607395433420893,0.0121847004989043,net,1
B2893E759E3A3494,High-Unbanked-Hippo,USDT,3595.2412338474515266,-336865.4042608299996291,500,64,1542,0,0.0000,103062.0,166,43,209,0.1787,0.6552,-0.1025,-13166.9529999999993917,0.10,,DOGE-USDT-SWAP,SWAP,3,0.07023,1698755172095,0.0471600503524673,isolated,-0.0909867577958141,0.0090695201102119,net,1
B2893E759E3A3494,High-Unbanked-Hippo,USDT,3595.2412338474515266,-336865.4042608299996291,500,64,1542,0,0.0000,103062.0,166,43,209,0.1787,0.6552,-0.1025,-13166.9529999999993917,0.10,,BLUR-USDT-SWAP,SWAP,3,0.2432,1698755126154,0.1633762672037596,isolated,0.4416118421052637,0.0114257974163782,net,1
AF78D1DF1318229C,stable stable stable,USDT,504.5688304824147241,-2328.7661477500000006,100,7,58,0,0.0000,277901.0,12,7,19,1.1841,0.5,0.0796,44.463,1.64,2.34,ETH-USDT-SWAP,SWAP,10,1790.39,1698243649698,1618.6448568558515,isolated,0.2150928010098352,0.4956760908326514,long,1
AF78D1DF1318229C,stable stable stable,USDT,504.5688304824147241,-2328.7661477500000006,100,7,58,0,0.0000,277901.0,12,7,19,1.1841,0.5,0.0796,44.463,1.64,2.34,ETH-USDT-SWAP,SWAP,10,1821.74,1698123576327,1994.9267844698857,isolated,-0.0393030838648767,0.4956760908326514,short,1
AF78D1DF1318229C,stable stable stable,USDT,504.5688304824147241,-2328.7661477500000006,100,7,58,0,0.0000,277901.0,12,7,19,1.1841,0.5,0.0796,44.463,1.64,2.34,ARB-USDT-SWAP,SWAP,10,0.9775330882352944,1698109257508,1.227444225810407,isolated,-0.8323698987171313,0.4878787256769538,short,1
AF78D1DF1318229C,stable stable stable,USDT,504.5688304824147241,-2328.7661477500000006,100,7,58,0,0.0000,277901.0,12,7,19,1.1841,0.5,0.0796,44.463,1.64,2.34,BTC-USDT-SWAP,SWAP,11,33294.8,1698107083982,36760.457491289206,isolated,-0.4582066869300896,0.9399578697266535,short,1
AF78D1DF1318229C,stable stable stable,USDT,504.5688304824147241,-2328.7661477500000006,100,7,58,0,0.0000,277901.0,12,7,19,1.1841,0.5,0.0796,44.463,1.64,2.34,PEPE-USDT-SWAP,SWAP,30,0.0000011310471041,1698106707197,0.0000014456654221,isolated,1.1974860446486302,0.4120271933125085,short,1
AF78D1DF1318229C,stable stable stable,USDT,504.5688304824147241,-2328.7661477500000006,100,7,58,0,0.0000,277901.0,12,7,19,1.1841,0.5,0.0796,44.463,1.64,2.34,USTC-USDT-SWAP,SWAP,5,0.0114,1696434525626,0.0091942900302115,isolated,-0.008771929824562,0.3084254969476501,long,1
AF78D1DF1318229C,stable stable stable,USDT,504.5688304824147241,-2328.7661477500000006,100,7,58,0,0.0000,277901.0,12,7,19,1.1841,0.5,0.0796,44.463,1.64,2.34,ARB-USDT-SWAP,SWAP,20,0.7801574162679429,1694427497439,0.6487566491758099,isolated,7.145803601162557,0.4591799771077212,long,1
AF78D1DF1318229C,stable stable stable,USDT,504.5688304824147241,-2328.7661477500000006,100,7,58,0,0.0000,277901.0,12,7,19,1.1841,0.5,0.0796,44.463,1.64,2.34,LTC-USDT-SWAP,SWAP,6,63.4766666666666667,1693322955192,53.28011301331543,isolated,0.5627264611668337,0.376344152075138,long,1
DCAFA682C6F2E52A,silence_zhou,USDT,10,-1768.1222575000002702,100,1,1,0,0.0000,68204.0,70,56,126,0.6079,0.3913,-0.9639,-2248.1949999999999997,,11.31,BTC-USDT-SWAP,SWAP,100,29944.0819640252795336,1697737743173,37579.19698075926,cross,-15.821550454164779,11.309483440620766,short,1
